id;DS100;name;VERKEHR;longitude;latitude
8005498;FSN;Sechshelden;nur DPN;8.252661;50.748892
8005499;KSEC;Sechtem;nur DPN;6.957454;50.795711
8000042;RSE;Seckach;RV;9.338469;49.441157
8013492;BSE;Seddin;RV;12.985452;52.29184
8010183;BSEO;Sedlitz Ost;RV;14.055252;51.553101
8012961;USE;Seebach(Mühlhausen);RV;10.521193;51.170012
8012962;WAB;Seebad Ahlbeck;nur DPN;14.187859;53.935478
8012963;WHF;Seebad Heringsdorf;RV;14.169586;53.949836
8012965;USB;Seebergen;RV;10.792702;50.92927
8005502;RSEE;Seebrugg;RV;8.191115;47.803516
8012966;BSEE;Seefeld(Mark);nur DPN;13.675987;52.618294
8005504;MSH;Seefeld-Hechendorf;RV;11.19873;48.04137
8005505;MSEG;Seeg;RV;10.613981;47.655267
8081586;BSFD;Seegefeld;RV;13.11681;52.55248
8012967;LSNA;Seehausen(Altm);RV;11.743515;52.885775
8012968;WSEE;Seehausen(Uckermark);RV;13.880888;53.225063
8005506;MSEB;Seeleiten-Berggeist;RV;11.16583;47.670984
8012973;BSLO;Seelow(Mark);nur DPN;14.394413;52.538198
8011788;BGSW;Seelow-Gusow;nur DPN;14.351462;52.559303
8012974;WSEV;Seelvitz;nur DPN;13.561281;54.367611
8005507;HS;Seelze;RV;9.594314;52.391675
8012975;DSRH;Seerhausen;RV;13.240079;51.270271
8000043;HSSN;Seesen;RV;10.173898;51.887263
8005508;MSE;Seeshaupt;RV;11.28703;47.822783
8005510;SSE;Sehlem(Kr Wittlich);RV;6.823421;49.906959
8012976;DSEH;Sehma;RV;12.993805;50.535453
8005511;HSEN;Sehnde;RV;9.962528;52.318075
8005512;MSBD;Seiboldsdorf;RV;12.636988;47.852967
8012977;DSFS;Seifersdorf;nur DPN;13.647601;50.939967
8012979;DSFH;Seifhennersdorf;nur DPN;14.613706;50.935798
8012981;DSEN;Seitschen;nur DPN;14.325332;51.153767
8005516;NSN;Selb Nord;nur DPN;12.134605;50.178915
8005517;NSS;Selb Stadt;nur DPN;12.126305;50.174216
8005520;NSLZ;Selbitz;nur DPN;11.748405;50.316476
8005518;NSP;Selb-Plößberg;nur DPN;12.119884;50.188948
8007835;KSHS;Selhausen;nur DPN;6.439356;50.865695
8070859;NSLIM;Seligenstadt Mainschleifenbahn;nur DPN;10.10203;49.857008
8005523;NSLI;Seligenstadt(b Würzburg);RV;10.102454;49.85426
8005522;FSEL;Seligenstadt(Hess);nur DPN;8.967472;50.04146
8012983;WSIN;Sellin(Rügen) Ost;nur DPN;13.697662;54.371344
8070258;WSIW;Sellin(Rügen) West;nur DPN;13.680913;54.375892
8007811;ASLL;Sellstedt;nur DPN;8.723057;53.515529
8005525;ESEM;Selm;RV;7.453406;51.706644
8005526;ESEB;Selm-Beifang;RV;7.454609;51.693672
8012984;USEL;Seltendorf;nur DPN;11.064095;50.386897
8005532;MSED;Senden;RV;10.050502;48.324016
8010327;BSN;Senftenberg;RV;14.003905;51.526941
8005534;ESEL;Sennelager;nur DPN;8.713704;51.77024
8005535;ESES;Sennestadt;nur DPN;8.567477;51.940582
8005536;TSE;Sennfeld;RV;9.380518;49.378762
8012986;WSES;Serams;nur DPN;13.582128;54.377976
8005539;SSER;Serrig;RV;6.569981;49.577132
8005540;TSER;Sersheim;RV;9.018508;48.958916
8005543;NSF;Seubersdorf;RV;11.628123;49.167648
8005544;FSG;Seulberg;RV;8.646005;50.241906
8005545;NSE;Seulbitz;RV;11.868771;50.20982
8005547;NSYB;Seybothenreuth;nur DPN;11.705542;49.894417
8005551;RSIB;Siebeldingen-Birkweiler;RV;8.042565;49.20927
8005555;ESIH;Siedlinghausen;RV;8.473835;51.257761
8075556;PRIS;Siegburg Bahnhof;nur DPN;7.2031;50.793475
8005556;KSIB;Siegburg/Bonn;FV;7.203026;50.793915
8007438;RSGB;Siegelsbach;RV;9.087386;49.271227
8005557;NSDF;Siegelsdorf;RV;10.875519;49.50635
8000046;ESIE;Siegen;RV;8.016508;50.875939
8003018;EHTG;Siegen-Geisweid;nur DPN;8.014352;50.915581
8003020;ESW;Siegen-Weidenau;nur DPN;8.029842;50.895966
8005559;MSGD;Siegsdorf;RV;12.646006;47.821827
8005561;ASID;Sierksdorf;FV;10.769108;54.068523
8005562;SSBG;Siersburg;RV;6.665362;49.361696
8000060;KSIH;Siershahn;nur DPN;7.77138;50.485857
8005566;TSY;Siglingen;RV;9.305336;49.297435
8000069;TSIG;Sigmaringen;RV;9.221851;48.086984
8005568;TSID;Sigmaringendorf;RV;9.260935;48.068901
8005569;ESIL;Silbach;RV;8.481124;51.22367
8012993;USI;Silberhausen;RV;10.34241;51.319425
8017023;LSIB;Silberhütte NE;nur DPN;11.091686;51.629092
8012996;DSBS;Silberstraße;RV;12.549615;50.662054
8000072;MSBI;Simbach(Inn);RV;13.023012;48.262726
8005572;NSHU;Simmelsdorf-Hüttenbach;RV;11.341671;49.598459
8005573;FSMH;Simtshausen;RV;8.704856;50.936918
8005574;TSI;Sindelfingen;RV;8.999075;48.703891
8005575;KSIU;Sindorf;RV;6.681106;50.903707
8079616;RSII;Singen Industriegeb.;RV;8.872131;47.75945
8005560;RSIS;Singen Landesgartenschau;RV;8.827046;47.760737
